"Figure 3. Observed mass loss for leaf litter (placed on the soil surface) and root litter (buried at 10 cm) compared with predicted mass loss (lines) using the CENTURY model. Observed data are for Larrea and Prosopis litter, which received 0tural rainfall (solid symbols) or subjected to
summer drought (open symbols). Points are means of 6–8 litterbags sampled at each date with
vertical bars showing ±1 S.E.",,,,,,
x,y,x unit,y unit,Group Type,Graph Label,Standard Error
0,98.7,time (months),Litter Mass Remaining (%),Drought,(a) *Larrea* Leaf,0
6,80.1,time (months),Litter Mass Remaining (%),Drought,(a) *Larrea* Leaf,0
11,57.7,time (months),Litter Mass Remaining (%),Drought,(a) *Larrea* Leaf,0
18,57.1,time (months),Litter Mass Remaining (%),Drought,(a) *Larrea* Leaf,2.5
20,47.8,time (months),Litter Mass Remaining (%),Drought,(a) *Larrea* Leaf,0
29.1,46.2,time (months),Litter Mass Remaining (%),Drought,(a) *Larrea* Leaf,4.4
41.1,38.1,time (months),Litter Mass Remaining (%),Drought,(a) *Larrea* Leaf,7.1
0,98.7,time (months),Litter Mass Remaining (%),Control,(a) *Larrea* Leaf,0
6,75.3,time (months),Litter Mass Remaining (%),Control,(a) *Larrea* Leaf,2.3
11,58.7,time (months),Litter Mass Remaining (%),Control,(a) *Larrea* Leaf,0
18,44.6,time (months),Litter Mass Remaining (%),Control,(a) *Larrea* Leaf,14.7
20,46.2,time (months),Litter Mass Remaining (%),Control,(a) *Larrea* Leaf,3.3
41.1,25.6,time (months),Litter Mass Remaining (%),Control,(a) *Larrea* Leaf,6.8
0,98.4,time (months),Litter Mass Remaining (%),Drought,(b) *Prosopis* Leaf,0
6,60.6,time (months),Litter Mass Remaining (%),Drought,(b) *Prosopis* Leaf,0
11,53.8,time (months),Litter Mass Remaining (%),Drought,(b) *Prosopis* Leaf,2.6
18,53.2,time (months),Litter Mass Remaining (%),Drought,(b) *Prosopis* Leaf,0
20,49.4,time (months),Litter Mass Remaining (%),Drought,(b) *Prosopis* Leaf,1.9
29,46.8,time (months),Litter Mass Remaining (%),Drought,(b) *Prosopis* Leaf,0
41,50.3,time (months),Litter Mass Remaining (%),Drought,(b) *Prosopis* Leaf,2.6
0,98.4,time (months),Litter Mass Remaining (%),Control,(b) *Prosopis* Leaf,0
6,57.7,time (months),Litter Mass Remaining (%),Control,(b) *Prosopis* Leaf,3.2
11,50.6,time (months),Litter Mass Remaining (%),Control,(b) *Prosopis* Leaf,1.9
18,49.7,time (months),Litter Mass Remaining (%),Control,(b) *Prosopis* Leaf,2.3
20,42.9,time (months),Litter Mass Remaining (%),Control,(b) *Prosopis* Leaf,0
29,41,time (months),Litter Mass Remaining (%),Control,(b) *Prosopis* Leaf,2.2
41,40.7,time (months),Litter Mass Remaining (%),Control,(b) *Prosopis* Leaf,2
0,99,time (months),Litter Mass Remaining (%),Drought,(c) *Larrea* Root,0
6,85.6,time (months),Litter Mass Remaining (%),Drought,(c) *Larrea* Root,0
11,83.7,time (months),Litter Mass Remaining (%),Drought,(c) *Larrea* Root,0
18,82.1,time (months),Litter Mass Remaining (%),Drought,(c) *Larrea* Root,0
20,82.4,time (months),Litter Mass Remaining (%),Drought,(c) *Larrea* Root,0
29,78.8,time (months),Litter Mass Remaining (%),Drought,(c) *Larrea* Root,0
41,76.6,time (months),Litter Mass Remaining (%),Drought,(c) *Larrea* Root,2.8
0,99,time (months),Litter Mass Remaining (%),Control,(c) *Larrea* Root,0
6,83.7,time (months),Litter Mass Remaining (%),Control,(c) *Larrea* Root,0
11,74.7,time (months),Litter Mass Remaining (%),Control,(c) *Larrea* Root,3.7
18,75.3,time (months),Litter Mass Remaining (%),Control,(c) *Larrea* Root,4.9
20,73.4,time (months),Litter Mass Remaining (%),Control,(c) *Larrea* Root,1.8
29,72.4,time (months),Litter Mass Remaining (%),Control,(c) *Larrea* Root,3.2
41,64.4,time (months),Litter Mass Remaining (%),Control,(c) *Larrea* Root,4.4
0,99,time (months),Litter Mass Remaining (%),Drought,(d) *Prosopis* Root,0
6,83,time (months),Litter Mass Remaining (%),Drought,(d) *Prosopis* Root,0
11,79.2,time (months),Litter Mass Remaining (%),Drought,(d) *Prosopis* Root,0
18,72.8,time (months),Litter Mass Remaining (%),Drought,(d) *Prosopis* Root,2.4
20,70.5,time (months),Litter Mass Remaining (%),Drought,(d) *Prosopis* Root,1.8
29,70.5,time (months),Litter Mass Remaining (%),Drought,(d) *Prosopis* Root,0
41,68.3,time (months),Litter Mass Remaining (%),Drought,(d) *Prosopis* Root,2.1
0,99,time (months),Litter Mass Remaining (%),Control,(d) *Prosopis* Root,0
6,82.4,time (months),Litter Mass Remaining (%),Control,(d) *Prosopis* Root,0
11,75.3,time (months),Litter Mass Remaining (%),Control,(d) *Prosopis* Root,2.5
18,65.1,time (months),Litter Mass Remaining (%),Control,(d) *Prosopis* Root,2.4
20,61.5,time (months),Litter Mass Remaining (%),Control,(d) *Prosopis* Root,1.5
29,60.6,time (months),Litter Mass Remaining (%),Control,(d) *Prosopis* Root,3
41,66.3,time (months),Litter Mass Remaining (%),Control,(d) *Prosopis* Root,2.2
