"Figure 4. Observed nitrogen content of leaf litter (placed on the soil surface) and root litter (buried at 10 cm) compared with predicted values (lines) using the CENTURY model. Observed data are for *Larrea* and *Prosopis* litter, which received natural rainfall (solid symbols) or subjected to summer drought (open symbols). Points are means of 6–8 litterbags sampled at each date with vertical bars showing ±1 S.E.",,,,,,,,,,,
x,y,x unit,y unit,Group Type,Graph Label,Standard Error,,,,,
0,2.2,time (months),Litter Nitrogen (%),Drought,(a) *Larrea* Leaf,0,,,,,
11,2.73,time (months),Litter Nitrogen (%),Drought,(a) *Larrea* Leaf,0,,,,,
18,2.78,time (months),Litter Nitrogen (%),Drought,(a) *Larrea* Leaf,0,,,,,
20,2.91,time (months),Litter Nitrogen (%),Drought,(a) *Larrea* Leaf,0.14,,,,,
29,3.07,time (months),Litter Nitrogen (%),Drought,(a) *Larrea* Leaf,0.13,,,,,
41,3.12,time (months),Litter Nitrogen (%),Drought,(a) *Larrea* Leaf,0,,,,,
0,2.20,time (months),Litter Nitrogen (%),Control,(a) *Larrea* Leaf,0,,,,,
11,2.78,time (months),Litter Nitrogen (%),Control,(a) *Larrea* Leaf,0,,,,,
18,2.90,time (months),Litter Nitrogen (%),Control,(a) *Larrea* Leaf,0.14,,,,,
20,3.25,time (months),Litter Nitrogen (%),Control,(a) *Larrea* Leaf,0.1,,,,,
29,3.41,time (months),Litter Nitrogen (%),Control,(a) *Larrea* Leaf,0.12,,,,,
41,3.27,time (months),Litter Nitrogen (%),Control,(a) *Larrea* Leaf,0.1,,,,,
0,2.44,time (months),Litter Nitrogen (%),Drought,(b) *Prosopis* Leaf,0,,,,,
11,3.58,time (months),Litter Nitrogen (%),Drought,(b) *Prosopis* Leaf,0.19,,,,,
18,3.05,time (months),Litter Nitrogen (%),Drought,(b) *Prosopis* Leaf,0.13,,,,,
20,3.74,time (months),Litter Nitrogen (%),Drought,(b) *Prosopis* Leaf,0.2,,,,,
29,3.54,time (months),Litter Nitrogen (%),Drought,(b) *Prosopis* Leaf,0.19,,,,,
41,3.2,time (months),Litter Nitrogen (%),Drought,(b) *Prosopis* Leaf,0.24,,,,,
0,2.44,time (months),Litter Nitrogen (%),Control,(b) *Prosopis* Leaf,0,,,,,
11,3.38,time (months),Litter Nitrogen (%),Control,(b) *Prosopis* Leaf,0.24,,,,,
18,3.20,time (months),Litter Nitrogen (%),Control,(b) *Prosopis* Leaf,0.18,,,,,
20,3.87,time (months),Litter Nitrogen (%),Control,(b) *Prosopis* Leaf,0.16,,,,,
29,3.88,time (months),Litter Nitrogen (%),Control,(b) *Prosopis* Leaf,0.17,,,,,
41,4.14,time (months),Litter Nitrogen (%),Control,(b) *Prosopis* Leaf,0.16,,,,,
0,2.41,time (months),Litter Nitrogen (%),Drought,(c) *Larrea* Root,0,,,,,
11,1.35,time (months),Litter Nitrogen (%),Drought,(c) *Larrea* Root,0.11,,,,,
18,1.97,time (months),Litter Nitrogen (%),Drought,(c) *Larrea* Root,0.15,,,,,
20,1.67,time (months),Litter Nitrogen (%),Drought,(c) *Larrea* Root,0.15,,,,,
29,1.73,time (months),Litter Nitrogen (%),Drought,(c) *Larrea* Root,0.1,,,,,
41,1.76,time (months),Litter Nitrogen (%),Drought,(c) *Larrea* Root,0.21,,,,,
0,2.39,time (months),Litter Nitrogen (%),Control,(c) *Larrea* Root,0,,,,,
11,1.88,time (months),Litter Nitrogen (%),Control,(c) *Larrea* Root,0.15,,,,,
18,1.76,time (months),Litter Nitrogen (%),Control,(c) *Larrea* Root,0.15,,,,,
20,1.50,time (months),Litter Nitrogen (%),Control,(c) *Larrea* Root,0.17,,,,,
29,1.57,time (months),Litter Nitrogen (%),Control,(c) *Larrea* Root,0.15,,,,,
41,2.06,time (months),Litter Nitrogen (%),Control,(c) *Larrea* Root,0.24,,,,,
0,2.11,time (months),Litter Nitrogen (%),Drought,(d) *Prosopis* Root,0,,,,,
11,1.85,time (months),Litter Nitrogen (%),Drought,(d) *Prosopis* Root,0,,,,,
18,1.94,time (months),Litter Nitrogen (%),Drought,(d) *Prosopis* Root,0.1,,,,,
20,1.95,time (months),Litter Nitrogen (%),Drought,(d) *Prosopis* Root,0,,,,,
29,2.05,time (months),Litter Nitrogen (%),Drought,(d) *Prosopis* Root,0,,,,,
41,1.89,time (months),Litter Nitrogen (%),Drought,(d) *Prosopis* Root,0,,,,,
0,2.11,time (months),Litter Nitrogen (%),Control,(d) *Prosopis* Root,0,,,,,
11,1.99,time (months),Litter Nitrogen (%),Control,(d) *Prosopis* Root,0.11,,,,,
18,2.06,time (months),Litter Nitrogen (%),Control,(d) *Prosopis* Root,0.18,,,,,
20,2.05,time (months),Litter Nitrogen (%),Control,(d) *Prosopis* Root,0.18,,,,,
29,2.20,time (months),Litter Nitrogen (%),Control,(d) *Prosopis* Root,0.11,,,,,
41,2.06,time (months),Litter Nitrogen (%),Control,(d) *Prosopis* Root,0.15,,,,,
